key,track,artist,album,genre,date
ABSOLUTE/ABSOLUTE - Live @ Glastonbury Festival 2022 in Somerset (02.07.22).mp3,ABSOLUTE,ABSOLUTE,"{'name': 'Glastonbury Festival 2022', 'artist': 'Various Artists'}",Electronic,2022-07-02
AMTRAC/AMTRAC - Live @ Coachella Music Festival 2017 in California (16.04.17).mp3,AMTRAC,AMTRAC,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",House,2017-04-16
ARTBAT/ARTBAT - Live on Radio1 Essential Mix (30.01.22).mp3,ARTBAT 2022,ARTBAT,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Techno,2022-01-30
Above & Beyond/Above & Beyond - Live @ Creamfields 2017 in Liverpool (05.08.17).mp3,Above & Beyond,Above & Beyond,"{'name': 'Creamfields 2017', 'artist': 'Various Artists'}",Trance,2017-08-05
"Above & Beyond/Above & Beyond - Live @ Radio 1 Party, Cream, Privilege in Ibiza (02.08.14).mp3",Above & Beyond,Above & Beyond,"{'name': 'Cream Ibiza 2014', 'artist': 'Various Artists'}",Trance,2014-08-02
"Above & Beyond/Radio 1 Dance Presents..., Anjunabeats Above & Beyond.mp4","Above & Beyond, Anjunabeats",Above & Beyond,"{'name': 'Radio 1 Dance Presents...', 'artist': 'Various Artists'}",Trance,
"Adem Ten/Radio 1's Essential Mix, Adam Ten.mp4",Adem Ten,Adem Ten,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,
Adriatique/Adriatique - Live on Radio 1 Essential Mix (04.02.17).mp3,Adriatique 2017,Adriatique,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2017-02-04
Adventure Club/Adventure Club - Live @ Coachella Music Festival 2014 in California (13.04.14).mp3,Adventure Club,Adventure Club,"{'name': 'Coachella 2014', 'artist': 'Various Artists'}",Electro House,2014-04-13
Alesso/Alesso - Live @ Coachella Festival 2012 in California (14.04.12).mp3,Alesso,Alesso,"{'name': 'Coachella 2012', 'artist': 'Various Artists'}",Electronic,2012-04-14
Alesso/Alesso - Live @ Coachella Music Festival 2014 in California (14.04.14).mp3,Alesso,Alesso,"{'name': 'Coachella 2014', 'artist': 'Various Artists'}",House,2014-04-14
Alesso/Alesso - Live @ Coachella Music Festival 2015 in California (10.04.15).mp3,Alesso,Alesso,"{'name': 'Coachella 2015', 'artist': 'Various Artists'}",Electronic,2015-04-10
Alesso/Alesso - Live on Radio 1 Essential Mix (24.03.12).mp3,Alesso 2012,Alesso,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2012-03-24
Alison Swing/Alison Swing - Live @ Coachella Music Festival 2017 in California (14.04.17).mp3,Alison Swing,Alison Swing,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",Electronic,2017-04-14
Alok/Alok - Live on Radio 1 Essential Mix (12.02.22).mp3,Alok 2022,Alok,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2022-02-12
Alvin Risk/Alvin Risk - Live @ Coachella Music Festival 2015 in California (10.04.15).mp3,Alvin Risk,Alvin Risk,"{'name': 'Coachella 2015', 'artist': 'Various Artists'}",Electronic,2015-04-10
Amelie Lens/Amelie Lens - Live @ Coachella 2019 in California (19.04.19).mp3,Amelie Lens,Amelie Lens,"{'name': 'Coachella 2019', 'artist': 'Various Artists'}",Techno,2019-04-19
Amelie Lens/Amelie Lens - Live on Radio 1 Essential Mix (03.04.20).mp3,Amelie Lens 2020,Amelie Lens,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Techno,2020
Amine Edge & Dance/Amine Edge & Dance - Live @ Coachella Music Festival 2016 in California (24.04.16).mp3,Amine Edge & Dance,Amine Edge & Dance,"{'name': 'Coachella 2016', 'artist': 'Various Artists'}",House,2016-04-24
"Amy Wiles/Radio 1 Dance Presents..., Anjunabeats Amy Wiles.mp4","Amy Wiles, Anjunabeats",Amy Wiles,"{'name': 'Radio 1 Dance Presents...', 'artist': 'Various Artists'}",Electronic,
Anastasia Kristensen/Anastasia Kristensen - Live on Radio 1 Essential Mix (03.09.22).mp3,Anastasia Kristensen 2022,Anastasia Kristensen,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Techno,2022
Andhim/Andhim - Live on Radio 1 Essential Mix (06.06.15).mp3,Andhim 2015,Andhim,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2015-06-06
Andre Power/Andre Power - Live @ Coachella Music Festival 2017 in California (14.04.17).mp3,Andre Power,Andre Power,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",Electronic,2017-04-14
Andrea Oliva/Andrea Oliva - Live @ Ibiza Rocks Hotel in Ibiza (02.08.15).mp3,Andrea Oliva,Andrea Oliva,"{'name': 'Ibiza Rocks 2015', 'artist': 'Various Artists'}",House,2015-08-02
Andrew Weatherall/Andrew Weatherall - Tribute - Live on Radio 1 Essential Mix (21.02.20).mp3,Andrew Weatherall - Tribute 2020,Andrew Weatherall,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2020-02-21
Andy C/Andy C - Live @ Hackney Weekend 2012 in London (07.07.12).mp3,Andy C,Andy C,"{'name': 'Hackney Weekend 2012', 'artist': 'Various Artists'}",Drum & Bass,2012-07-07
Anja Schneider/Anja Schneider - Live on Radio 1 Essential Mix (04.10.14).mp3,Anja Schneider 2014,Anja Schneider,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2014-10-04
Anna Lunoe/Anna Lunoe - Live @ Coachella Music Festival 2017 in California (14.04.17).mp3,Anna Lunoe,Anna Lunoe,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",Electronic,2017-04-14
